occup,T_amb,T_tank,T_space,Ir_gain,Cond_losses,Vent_losses,heat_hp,heat_rate_sp,Tret_sp,heat_rate_wat,Tret_wat,water_forheat,COP_water,COP_space,hp_oper,space_ON,water_ON,P_con,time
1.0,23.114285714285717,20.866451777483928,22.29742818874902,0.2435051380787991,-0.07397053322497558,-0.05722387314685979,1.8230285714285712,-0.9351290269779372,4.607929666119321,3.1233371645631864,13.347957717569786,0.42857142857142855,1.1796757798694326,1.0646184701904196,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.9346950674005802,2023-01-23T19:38:00.0
1.0,23.1,13.923004235218785,22.294282880694396,0.2408643252191359,-0.07296171373871917,-0.05644344672849074,1.8216,-0.939559085742226,4.607929666119321,3.1216304543811995,13.34838533114395,0.2857142857142857,1.1781926042047046,1.0646184701904196,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.9352826822569812,2023-01-23T19:39:00.0
1.0,23.071428571428577,14.133084154072119,22.291122672129667,0.23569741299852903,-0.07066060071101223,-0.054663297333141646,0.24382857142857134,-0.9508644032430318,4.607313902572523,1.5508135311502964,6.677185960591133,0.2857142857142857,0.5789042672344175,1.0621763257787027,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.5603478773255547,2023-01-23T19:40:00.0
1.0,23.071428571428577,7.019191408222229,22.28792443811052,0.26581203889212585,-0.07095021679261626,-0.05488734538568977,-1.2614285714285718,-2.4254932560724254,9.156746031746033,1.5506753201535768,6.677185960591133,0.14285714285714285,0.5789042672344175,1.9181156604912084,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.811576820748402,2023-01-23T19:41:00.0
1.0,23.05714285714286,7.123548970780127,22.279766287465346,0.3225255467783644,-0.07039533526714693,-0.05445808702238423,-1.2628571428571431,-2.3697638880749614,9.156746031746033,1.549108550174919,6.677613574165298,0.14285714285714285,0.5774750770958849,1.9181156604912084,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.8121735447263025,2023-01-23T19:42:00.0
1.0,23.05714285714286,7.22780109263491,22.27179558264314,0.3896794008209703,-0.07111712244232184,-0.055016464202465025,-2.8171428571428576,-2.3013298696771005,9.156746031746033,0.0,0.0,0.14285714285714285,0.0,1.9181156604912084,0.2857142857142857,0.7142857142857143,0.0,0.4276706888746333,2023-01-23T19:43:00.0
1.0,23.05714285714286,0.0,22.26405505575688,0.44062103450300183,-0.07181806585450669,-0.05555871657179706,-2.8171428571428576,-2.249145040213552,9.156746031746033,0.0,0.0,0.0,0.0,1.9181156604912084,0.2857142857142857,0.7142857142857143,0.0,0.4276706888746333,2023-01-23T19:44:00.0
1.0,23.05714285714286,0.0,22.256490052632273,0.5064699002956504,-0.07250311471245564,-0.05608867285624678,-2.8171428571428576,-2.1820811692785047,9.156746031746033,0.0,0.0,0.0,0.0,1.9181156604912084,0.2857142857142857,0.7142857142857143,0.0,0.4276706888746333,2023-01-23T19:45:00.0
1.0,23.028571428571432,0.0,22.249150618950324,0.5452281693119552,-0.07058045141523916,-0.054601293546847764,-2.8192,-2.1487900857259588,9.156130268199234,0.0,0.0,0.0,0.0,1.916152208304752,0.2857142857142857,0.7142857142857143,0.0,0.4285924403964171,2023-01-23T19:46:00.0
1.0,23.014285714285712,0.0,22.24192315988388,0.5463418693906185,-0.06994129111385834,-0.05410683681641591,-2.821257142857143,-2.1508671455362505,9.155514504652436,0.0,0.0,0.0,0.0,1.91371566596504,0.2857142857142857,0.7142857142857143,0.0,0.4292754244134534,2023-01-23T19:47:00.0
